date,Sentimen score
2014/11/6,0.735669146
2014/11/7,0.653160817
2014/11/10,0.807939741
2014/11/11,0.209625083
2014/11/12,0.419432775
2014/11/13,0.212167255
2014/11/14,0.875813872
2014/11/17,0.623900799
2014/11/18,0.780255992
2014/11/19,0.822513682
2014/11/20,0.970191682
2014/11/21,0.616789678
2014/11/24,0.728165391
2014/11/25,0.684787054
2014/11/26,0.619095155
2014/11/28,0.96835443
2014/12/1,0.679242078
2014/12/2,0.737465573
2014/12/3,0.889453452
2014/12/4,0.774730818
2014/12/5,0.61245266
2014/12/8,0.411437377
2014/12/9,0.501501303
2014/12/10,0.439839839
2014/12/11,0.689729637
2014/12/12,0.493416533
2014/12/15,0.422190285
2014/12/16,0.394994501
2014/12/17,0.849607635
2014/12/18,0.809827379
2014/12/19,0.877077141
2014/12/22,0.684016147
2014/12/23,0.503956354
2014/12/24,0.566776146
2014/12/26,0.159932826
2014/12/29,0.995049943
2014/12/30,0.547274698
2014/12/31,0.595724201
2015/1/2,0.377855619
2015/1/5,0.482303812
2015/1/6,0.931485799
2015/1/7,0.002376247
2015/1/8,0.597880459
2015/1/9,0.898456032
2015/1/12,0.393739113
2015/1/13,0.843564909
2015/1/14,0.419661658
2015/1/15,0.529663736
2015/1/16,0.676217674
2015/1/20,0.7605714
2015/1/21,0.3449393
2015/1/22,0.748351053
2015/1/23,0.441362527
2015/1/26,0.575950522
2015/1/27,0.638566359
2015/1/28,0.720245632
2015/1/29,0.703051007
2015/1/30,0.631711589
2015/2/2,0.607353329
2015/2/3,0.71094666
2015/2/4,0.705184042
2015/2/5,0.89311363
2015/2/6,0.859291937
2015/2/9,0.711783686
2015/2/10,0.567821847
2015/2/11,0.63536133
2015/2/12,0.720991872
2015/2/13,0.59089562
2015/2/17,0.828886317
2015/2/18,0.212251335
2015/2/19,0.619118771
2015/2/20,0.66251191
2015/2/23,0.001905532
2015/2/24,0.537740601
2015/2/25,0.540515068
2015/2/26,0.576968123
2015/2/27,0.478878107
2015/3/2,0.738360494
2015/3/3,0.67684082
2015/3/4,0.975052706
2015/3/5,0.623160716
2015/3/6,0.605243552
2015/3/9,0.679697444
2015/3/10,0.666539269
2015/3/11,0.611056814
2015/3/12,0.974082645
2015/3/13,0.59271772
2015/3/16,0.816570741
2015/3/17,0.69823253
2015/3/18,0.801830579
2015/3/19,0.79052553
2015/3/20,0.605192485
2015/3/23,0.606110528
2015/3/24,0.588666577
2015/3/25,0.5616819
2015/3/26,0.626970784
2015/3/27,0.721766576
2015/3/30,0.518121525
2015/3/31,0.584461262
2015/4/1,0.601848106
2015/4/2,0.598913974
2015/4/6,0.590158164
2015/4/7,0.639060012
2015/4/8,0.701824401
